StrandDecidingMethod,Group,Sample,SamplePath,A2CEditingIndex,A2GEditingIndex,A2TEditingIndex,C2AEditingIndex,C2GEditingIndex,C2TEditingIndex
RefSeqThenMMSites,Editing_Index_Unknown,ALPHA_TERB1_1.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/ALPHA_TERB1_1.Aligned.sortedByCoord.52.bam,0.0627620794381,0.936654950598,0.102316622205,0.0852001732929,0.0616406425045,0.26657945375
RefSeqThenMMSites,Editing_Index_Unknown,ALPHA_TERF2IP_1.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/ALPHA_TERF2IP_1.Aligned.sortedByCoord.52.bam,0.0615383101696,0.917570890763,0.0926936976334,0.0825936758405,0.0546920185007,0.24607452086
RefSeqThenMMSites,Editing_Index_Unknown,ALPHA_TERT_1.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/ALPHA_TERT_1.Aligned.sortedByCoord.52.bam,0.0624256597138,0.908501269917,0.0979419508843,0.0839167704326,0.0583821813278,0.253100362042
RefSeqThenMMSites,Editing_Index_Unknown,ALPHA_TFB1M_3.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/ALPHA_TFB1M_3.Aligned.sortedByCoord.52.bam,0.0628922921851,0.916561248487,0.10183933884,0.0842929803943,0.0600899868712,0.257158504074
RefSeqThenMMSites,Editing_Index_Unknown,ALPHA_TIGD3_1.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/ALPHA_TIGD3_1.Aligned.sortedByCoord.52.bam,0.0636182996185,0.920383276391,0.103705713555,0.08434658152,0.0596931232556,0.257039953078
RefSeqThenMMSites,Editing_Index_Unknown,ALPHA_TET3_3.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/ALPHA_TET3_3.Aligned.sortedByCoord.52.bam,0.0622049851823,0.979233800203,0.0967930784271,0.0787578979665,0.0552603544176,0.252572546357
RefSeqThenMMSites,Editing_Index_Unknown,ALPHA_THAP7_3.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/ALPHA_THAP7_3.Aligned.sortedByCoord.52.bam,0.0631227131331,0.920920889785,0.103306908879,0.0849857635625,0.0575920414851,0.252153214343
RefSeqThenMMSites,Editing_Index_Unknown,ALPHA_TFEB_1.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/ALPHA_TFEB_1.Aligned.sortedByCoord.52.bam,0.061514723854,0.918850206203,0.0971469437198,0.0782212349848,0.0588312881958,0.252328133124
RefSeqThenMMSites,Editing_Index_Unknown,ALPHA_TERF1_1.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/ALPHA_TERF1_1.Aligned.sortedByCoord.52.bam,0.0614480848159,0.935955177568,0.0971526358991,0.0826149430225,0.0607782084695,0.250786778014
RefSeqThenMMSites,Editing_Index_Unknown,ALPHA_TFAP4_2.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/ALPHA_TFAP4_2.Aligned.sortedByCoord.52.bam,0.0642862112144,0.909486942811,0.0998403805828,0.0858298238918,0.0596552306702,0.256248080162
RefSeqThenMMSites,Editing_Index_Unknown,ALPHA_THRAP3_2.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/ALPHA_THRAP3_2.Aligned.sortedByCoord.52.bam,0.0646538418048,0.897809271604,0.0939619826395,0.0822521143882,0.0601514612578,0.251744664358
RefSeqThenMMSites,Editing_Index_Unknown,ALPHA_THAP2_2.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/ALPHA_THAP2_2.Aligned.sortedByCoord.52.bam,0.0595257850172,0.908098548429,0.0918707194262,0.0766742881854,0.0550722579318,0.237309042464
RefSeqThenMMSites,Editing_Index_Unknown,ALPHA_TFCP2L1_3.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/ALPHA_TFCP2L1_3.Aligned.sortedByCoord.52.bam,0.0631066835363,0.910749986706,0.0960693462175,0.0806972103539,0.0583807811145,0.250227890537
RefSeqThenMMSites,Editing_Index_Unknown,ALPHA_TERF1_2.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/ALPHA_TERF1_2.Aligned.sortedByCoord.52.bam,0.0618875798034,0.908069529903,0.101999740834,0.0827681701291,0.0567007151862,0.25589969696
RefSeqThenMMSites,Editing_Index_Unknown,ALPHA_THRA_1.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/ALPHA_THRA_1.Aligned.sortedByCoord.52.bam,0.0615614462001,0.924933624523,0.100301097047,0.0810999928644,0.0572541300006,0.24932609533
RefSeqThenMMSites,Editing_Index_Unknown,ALPHA_THUMPD3_2.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/ALPHA_THUMPD3_2.Aligned.sortedByCoord.52.bam,0.0637569487056,0.900033652432,0.0954314892952,0.0801457654139,0.0589554319237,0.245189286871
RefSeqThenMMSites,Editing_Index_Unknown,ALPHA_THAP9_1.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/ALPHA_THAP9_1.Aligned.sortedByCoord.52.bam,0.0641836716781,0.914209615473,0.0952886582837,0.0824438702927,0.0611261110954,0.256552641333
RefSeqThenMMSites,Editing_Index_Unknown,ALPHA_TET1_1.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/ALPHA_TET1_1.Aligned.sortedByCoord.52.bam,0.0617789474959,0.916865652516,0.0953456776259,0.0817269361672,0.0585576699106,0.252255326512
RefSeqThenMMSites,Editing_Index_Unknown,ALPHA_TGFB1I1_2.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/ALPHA_TGFB1I1_2.Aligned.sortedByCoord.52.bam,0.0635705027258,0.90833206262,0.0938209696413,0.0841003559514,0.0580469919627,0.252114791168
RefSeqThenMMSites,Editing_Index_Unknown,ALPHA_THAP6_3.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/ALPHA_THAP6_3.Aligned.sortedByCoord.52.bam,0.0641950781042,0.921181736664,0.0982913620802,0.0811683169168,0.0586801480545,0.252753437845
RefSeqThenMMSites,Editing_Index_Unknown,ALPHA_TFCP2L1_1.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/ALPHA_TFCP2L1_1.Aligned.sortedByCoord.52.bam,0.0629855649178,0.910167890709,0.0978730142516,0.0816927194985,0.0570731135738,0.250884279929
RefSeqThenMMSites,Editing_Index_Unknown,ALPHA_TFAM_2.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/ALPHA_TFAM_2.Aligned.sortedByCoord.52.bam,0.0613786783839,0.959417174027,0.0962823779783,0.0800425878526,0.0569830498946,0.252973522455
RefSeqThenMMSites,Editing_Index_Unknown,ALPHA_TGIF2_1.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/ALPHA_TGIF2_1.Aligned.sortedByCoord.52.bam,0.0632931264808,0.902894325801,0.100670941838,0.0800697019682,0.0620699488126,0.268360776413
RefSeqThenMMSites,Editing_Index_Unknown,ALPHA_THAP2_3.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/ALPHA_THAP2_3.Aligned.sortedByCoord.52.bam,0.0611244131059,0.935950807849,0.097986274632,0.0790565780907,0.0575262216151,0.250673184459
RefSeqThenMMSites,Editing_Index_Unknown,ALPHA_TFEB_2.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/ALPHA_TFEB_2.Aligned.sortedByCoord.52.bam,0.0608119633334,0.888112133348,0.0948349917181,0.0823725224088,0.0570235242799,0.251819028729
RefSeqThenMMSites,Editing_Index_Unknown,ALPHA_THAP12_2.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/ALPHA_THAP12_2.Aligned.sortedByCoord.52.bam,0.0638967069873,0.919860783906,0.0999228127112,0.082833076586,0.0570582455764,0.250853312276
RefSeqThenMMSites,Editing_Index_Unknown,ALPHA_TFEC_1.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/ALPHA_TFEC_1.Aligned.sortedByCoord.52.bam,0.0627548895624,0.918574375594,0.0933702807762,0.0782608831867,0.0582729525986,0.244378182008
RefSeqThenMMSites,Editing_Index_Unknown,ALPHA_THAP5_3.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/ALPHA_THAP5_3.Aligned.sortedByCoord.52.bam,0.0633853976233,0.90792033759,0.0955538861381,0.0776961841152,0.0592595437015,0.253684652857
RefSeqThenMMSites,Editing_Index_Unknown,ALPHA_TIGD2_1.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/ALPHA_TIGD2_1.Aligned.sortedByCoord.52.bam,0.0697339897676,0.940404072441,0.100422995972,0.0886927272581,0.0578116201768,0.258457850359
RefSeqThenMMSites,Editing_Index_Unknown,ALPHA_TET2_1.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/ALPHA_TET2_1.Aligned.sortedByCoord.52.bam,0.0607948555453,0.904152933454,0.0984427570865,0.0815424293993,0.0593147746737,0.258549103216
RefSeqThenMMSites,Editing_Index_Unknown,ALPHA_THRAP3_3.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/ALPHA_THRAP3_3.Aligned.sortedByCoord.52.bam,0.0628262253162,0.916441908971,0.101309361726,0.0811207936423,0.0607248186978,0.25435095147
RefSeqThenMMSites,Editing_Index_Unknown,ALPHA_TIGD3_2.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/ALPHA_TIGD3_2.Aligned.sortedByCoord.52.bam,0.0619928916353,0.921711976024,0.0943931145467,0.081265665016,0.0560098273198,0.245577101158
RefSeqThenMMSites,Editing_Index_Unknown,ALPHA_TGIF1_1.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/ALPHA_TGIF1_1.Aligned.sortedByCoord.52.bam,0.059828918959,0.896005264467,0.102398307982,0.0783537425718,0.0602338664191,0.250273353317
RefSeqThenMMSites,Editing_Index_Unknown,ALPHA_TGIF2_2.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/ALPHA_TGIF2_2.Aligned.sortedByCoord.52.bam,0.0636103851036,0.91107211006,0.0976216289528,0.0830270244347,0.0596276559175,0.258365208711
